Año,Trimestre,Provincia,Accesos telefonía fija (total)
2016,2,Formosa,40743
2016,2,Jujuy,56381
2016,2,La Pampa,81939
2016,2,La Rioja,37869
2016,2,Mendoza,370071
2016,2,Misiones,110533
2016,2,Neuquén,98956
2016,2,Río Negro,141053
2016,2,Salta,139208
2016,2,San Juan,107299
2016,2,San Luis,53178
2016,2,Santa Cruz,44254
2016,2,Santa Fe,741843
2016,2,Santiago del Estero,66024
2016,2,Tierra del Fuego,37976
2016,2,Tucumán,210228
2016,1,Buenos Aires,4872542
2016,1,Capital Federal,1608800
2016,1,Catamarca,38665
2016,1,Chaco,102077
2016,1,Chubut,122592
2016,1,Córdoba,702744
2016,1,Corrientes,102049
2016,1,Entre Ríos,223126
2016,1,Formosa,41139
2016,1,Jujuy,56418
2016,1,La Pampa,83364
2016,1,La Rioja,37770
2016,1,Mendoza,381118
2016,1,Misiones,115189
2016,1,Neuquén,101846
2016,1,Río Negro,145598
2016,1,Salta,139346
2016,1,San Juan,114113
2016,1,San Luis,53797
2016,1,Santa Cruz,47233
2016,1,Santa Fe,741856
2016,1,Santiago del Estero,64481
2016,1,Tierra del Fuego,38952
2016,1,Tucumán,211561
2015,4,Buenos Aires,4713888
2015,4,Capital Federal,1572421
2015,4,Catamarca,39268
2015,4,Chaco,103362
2015,4,Chubut,110994
2015,4,Córdoba,721431
2015,4,Corrientes,107615
2015,4,Entre Ríos,228781
2015,4,Formosa,41567
2015,4,Jujuy,56957
2015,4,La Pampa,79736
2015,4,La Rioja,38574
2015,4,Mendoza,361160
2015,4,Misiones,111733
2015,4,Neuquén,108302
2015,4,Río Negro,135095
2015,4,Salta,141131
2015,4,San Juan,104387
2015,4,San Luis,53012
2015,4,Santa Cruz,52927
2015,4,Santa Fe,758242
2015,4,Santiago del Estero,68531
2015,4,Tierra del Fuego,35528
2015,4,Tucumán,213717
2015,3,Buenos Aires,4713132
2015,3,Capital Federal,1627395
2015,3,Catamarca,39243
2015,3,Chaco,107211
2015,3,Chubut,110101
2015,3,Córdoba,727761
2015,3,Corrientes,110808
2015,3,Entre Ríos,235242
2015,3,Formosa,41803
2015,3,Jujuy,56787
2015,3,La Pampa,78651
2015,3,La Rioja,38651
2015,3,Mendoza,358373
2015,3,Misiones,113211
2015,3,Neuquén,98784
2015,3,Río Negro,133855
2015,3,Salta,141105
2015,3,San Juan,103306
2015,3,San Luis,53069
2015,3,Santa Cruz,60005
2015,3,Santa Fe,766859
2015,3,Santiago del Estero,69165
2015,3,Tierra del Fuego,35152
2015,3,Tucumán,213481
2015,2,Buenos Aires,4665956
2015,2,Capital Federal,1654650
2015,2,Catamarca,39141
2015,2,Chaco,104243
2015,2,Chubut,107612
2015,2,Córdoba,724175
2015,2,Corrientes,108530
2015,2,Entre Ríos,229823
2015,2,Formosa,41848
2015,2,Jujuy,56443
2015,2,La Pampa,78106
2015,2,La Rioja,38903
2015,2,Mendoza,350326
2015,2,Misiones,110526
2015,2,Neuquén,97708
2015,2,Río Negro,131424
2015,2,Salta,140955
2015,2,San Juan,100775
2015,2,San Luis,52860
2015,2,Santa Cruz,58897
2015,2,Santa Fe,764496
2015,2,Santiago del Estero,70102
2015,2,Tierra del Fuego,34186
2015,2,Tucumán,212182
2015,1,Buenos Aires,4801996
2015,1,Capital Federal,1634130
2015,1,Catamarca,39142
2015,1,Chaco,104250
2015,1,Chubut,104281
2015,1,Córdoba,729084
2015,1,Corrientes,108534
2015,1,Entre Ríos,229839
2015,1,Formosa,41854
2015,1,Jujuy,56446
2015,1,La Pampa,76862
2015,1,La Rioja,38902
2015,1,Mendoza,339093
2015,1,Misiones,110526
2015,1,Neuquén,96099
2015,1,Río Negro,127343
2015,1,Salta,140946
2015,1,San Juan,98340
2015,1,San Luis,52039
2015,1,Santa Cruz,57685
2015,1,Santa Fe,766506
2015,1,Santiago del Estero,70101
2015,1,Tierra del Fuego,33423
2015,1,Tucumán,212265
2014,4,Buenos Aires,4463139
2014,4,Capital Federal,1615174
2014,4,Catamarca,39423
2014,4,Chaco,105378
2014,4,Chubut,99562
2014,4,Córdoba,731926
2014,4,Corrientes,105219
2014,4,Entre Ríos,230049
2014,4,Formosa,42133
2014,4,Jujuy,56456
2014,4,La Pampa,73063
2014,4,La Rioja,39162
2014,4,Mendoza,327635
2014,4,Misiones,111784
2014,4,Neuquén,93902
2014,4,Río Negro,123365
2014,4,Salta,141211
2014,4,San Juan,95135
2014,4,San Luis,51237
2014,4,Santa Cruz,41523
